cell_type	Ag_class	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	n_ovlp	tot_genes	n_bg_ovlp	tot_bg_genes	enrichment	db
cLEC	Ag-high	GO:0003013	circulatory system process	7/51	412/14298	6.072817564476582e-4	0.01685853696926687	0.01226932274127288	Psen2/Gas6/Prcp/App/Cd36/Kat2b/Kdr	7	7	51	412	14298	4.763278126784695	BP
cLEC	Ag-high	GO:0010934	macrophage cytokine production	3/51	47/14298	6.206589529291684e-4	0.01685853696926687	0.01226932274127288	Psen2/Gas6/Cd36	3	3	51	47	14298	17.894868585732166	BP
cLEC	Ag-high	GO:0007626	locomotory behavior	5/51	195/14298	6.329670473808989e-4	0.01685853696926687	0.01226932274127288	Selenop/Psap/Grn/Aplp2/App	5	5	51	195	14298	7.188536953242835	BP
cLEC	Ag-high	GO:0001967	suckling behavior	2/51	11/14298	6.721241206888592e-4	0.01687263309867205	0.012279581636299787	Aplp2/App	2	2	51	11	14298	50.973262032085564	BP
cLEC	Ag-high	GO:0010744	positive regulation of macrophage derived foam cell differentiation	2/51	11/14298	6.721241206888592e-4	0.01687263309867205	0.012279581636299787	Cd36/Csf1	2	2	51	11	14298	50.973262032085564	BP
cLEC	Ag-high	GO:0043031	negative regulation of macrophage activation	2/51	11/14298	6.721241206888592e-4	0.01687263309867205	0.012279581636299787	Grn/Adgrf5	2	2	51	11	14298	50.973262032085564	BP
cLEC	Ag-high	GO:1905245	regulation of aspartic-type peptidase activity	2/51	11/14298	6.721241206888592e-4	0.01687263309867205	0.012279581636299787	Grn/App	2	2	51	11	14298	50.973262032085564	BP
cLEC	Ag-high	GO:0048538	thymus development	3/51	49/14298	7.016831881491102e-4	0.017027512032418406	0.012392299580177268	Psen2/Tbx1/Pbx1	3	3	51	49	14298	17.164465786314526	BP
cLEC	Ag-high	GO:0045787	positive regulation of cell cycle	6/51	306/14298	7.329608840465248e-4	0.017591061217116597	0.012802439964259718	Ddx3x/Tgfa/App/Lgmn/Kat2b/Pbx1	6	6	51	306	14298	5.497116493656286	BP
cLEC	Ag-high	GO:0001952	regulation of cell-matrix adhesion	4/51	116/14298	7.66055161054231e-4	0.017989940556370328	0.013092736765046846	Actg1/Cd36/Csf1/Kdr	4	4	51	116	14298	9.66734279918864	BP
cLEC	Ag-high	GO:0017038	protein import	2/51	12/14298	8.047098555148951e-4	0.018499856046784537	0.013463843565955588	App/Clu	2	2	51	12	14298	46.72549019607843	BP
cLEC	Ag-high	GO:0007613	memory	4/51	118/14298	8.167166486704947e-4	0.018568183042147437	0.013513570654348673	Psen2/App/Lgmn/Sgk1	4	4	51	118	14298	9.503489531405783	BP
cLEC	Ag-high	GO:0050900	leukocyte migration	6/51	313/14298	8.246857852968412e-4	0.018568183042147437	0.013513570654348673	Gas6/App/Lgmn/Itga9/Cd24a/Csf1	6	6	51	313	14298	5.374177786130427	BP
cLEC	Ag-high	GO:0050885	neuromuscular process controlling balance	3/51	52/14298	8.353760256980227e-4	0.018616951429841648	0.01354906335987126	Psap/Aplp2/App	3	3	51	52	14298	16.17420814479638	BP
cLEC	Ag-high	GO:0031623	receptor internalization	4/51	120/14298	8.697027876760111e-4	0.01899430888284408	0.013823696940955544	Dab2/Cd63/App/Cd36	4	4	51	120	14298	9.345098039215687	BP
cLEC	Ag-high	GO:0042987	amyloid precursor protein catabolic process	3/51	55/14298	9.842480505785852e-4	0.020862080563410042	0.015183025665485425	Psen2/App/Clu	3	3	51	55	14298	15.291978609625668	BP
cLEC	Ag-high	GO:0070050	neuron cellular homeostasis	3/51	55/14298	9.842480505785852e-4	0.020862080563410042	0.015183025665485425	Atp6v1a/Psen2/App	3	3	51	55	14298	15.291978609625668	BP
cLEC	Ag-high	GO:0140962	multicellular organismal-level chemical homeostasis	3/51	56/14298	0.0010373569857509218	0.021373468461132198	0.015555204056443811	Neo1/Adgrf5/Kdr	3	3	51	56	14298	15.018907563025211	BP
cLEC	Ag-high	GO:0006879	intracellular iron ion homeostasis	3/51	57/14298	0.0010922472953813142	0.021537201814518077	0.015674366078620734	Neo1/Atp6v1a/Fth1	3	3	51	57	14298	14.755417956656347	BP
cLEC	Ag-high	GO:1900221	regulation of amyloid-beta clearance	2/51	14/14298	0.001104471887924004	0.021537201814518077	0.015674366078620734	App/Clu	2	2	51	14	14298	40.050420168067234	BP
cLEC	Ag-high	GO:1905906	regulation of amyloid fibril formation	2/51	14/14298	0.001104471887924004	0.021537201814518077	0.015674366078620734	App/Clu	2	2	51	14	14298	40.050420168067234	BP
cLEC	Ag-high	GO:0035253	ciliary rootlet	2/51	14/14353	0.0010961383961126084	0.022321363702656753	0.016048724842605656	Psen2/App	2	2	51	14	14353	40.20448179271709	CC
cLEC	Ag-high	GO:0098576	lumenal side of membrane	2/51	15/14353	0.001261904196200185	0.023555544995736786	0.016936082633213008	H2-K1/Canx	2	2	51	15	14353	37.52418300653594	CC
cLEC	Ag-high	GO:0010632	regulation of epithelial cell migration	5/51	227/14298	0.001251348282578695	0.023594925152798246	0.01717193800883235	Grn/Prcp/Cd63/Lgmn/Kdr	5	5	51	227	14298	6.17517491578129	BP
cLEC	Ag-high	GO:0045665	negative regulation of neuron differentiation	3/51	60/14298	0.001267833980825556	0.023594925152798246	0.01717193800883235	App/Pbx1/Cd24a	3	3	51	60	14298	14.01764705882353	BP
cLEC	Ag-high	GO:2001028	positive regulation of endothelial cell chemotaxis	2/51	15/14298	0.0012714868403921095	0.023594925152798246	0.01717193800883235	Lgmn/Kdr	2	2	51	15	14298	37.38039215686275	BP
cLEC	Ag-high	GO:0062013	positive regulation of small molecule metabolic process	4/51	133/14298	0.0012748173846292093	0.023594925152798246	0.01717193800883235	Dab2/Plcd1/App/Kat2b	4	4	51	133	14298	8.431667403803628	BP
cLEC	Ag-high	GO:0006801	superoxide metabolic process	3/51	61/14298	0.0013300758279474693	0.024007319076341096	0.017472070467165538	Fbln5/App/Cd36	3	3	51	61	14298	13.787849566055929	BP
cLEC	Ag-high	GO:0001921	positive regulation of receptor recycling	2/51	16/14298	0.0014498175357315454	0.024773268073446503	0.018029513587287556	Psen2/Dab2	2	2	51	16	14298	35.044117647058826	BP
cLEC	Ag-high	GO:0019430	removal of superoxide radicals	2/51	16/14298	0.0014498175357315454	0.024773268073446503	0.018029513587287556	Fbln5/Cd36	2	2	51	16	14298	35.044117647058826	BP
cLEC	Ag-high	GO:0043217	myelin maintenance	2/51	16/14298	0.0014498175357315454	0.024773268073446503	0.018029513587287556	Degs1/Clu	2	2	51	16	14298	35.044117647058826	BP
cLEC	Ag-high	GO:0090594	inflammatory response to wounding	2/51	16/14298	0.0014498175357315454	0.024773268073446503	0.018029513587287556	Grn/Cd24a	2	2	51	16	14298	35.044117647058826	BP
cLEC	Ag-high	GO:0007204	positive regulation of cytosolic calcium ion concentration	4/51	138/14298	0.0014608435783701277	0.024773268073446503	0.018029513587287556	Plcd1/Cd36/Cd24a/Kdr	4	4	51	138	14298	8.12617220801364	BP
cLEC	Ag-high	GO:0006935	chemotaxis	7/51	479/14298	0.0014643837102020307	0.024773268073446503	0.018029513587287556	Neo1/Gas6/App/Lgmn/Itga9/Csf1/Kdr	7	7	51	479	14298	4.097015841827337	BP
cLEC	Ag-high	GO:0042330	taxis	7/51	480/14298	0.0014820291196011237	0.024773268073446503	0.018029513587287556	Neo1/Gas6/App/Lgmn/Itga9/Csf1/Kdr	7	7	51	480	14298	4.088480392156863	BP
cLEC	Ag-high	GO:0007272	ensheathment of neurons	4/51	139/14298	0.0015002018347329525	0.024773268073446503	0.018029513587287556	Psap/Degs1/Clu/Cldn11	4	4	51	139	14298	8.067710537452392	BP
cLEC	Ag-high	GO:0008366	axon ensheathment	4/51	139/14298	0.0015002018347329525	0.024773268073446503	0.018029513587287556	Psap/Degs1/Clu/Cldn11	4	4	51	139	14298	8.067710537452392	BP
cLEC	Ag-high	GO:0140694	non-membrane-bounded organelle assembly	6/51	352/14298	0.0015096279803746364	0.024773268073446503	0.018029513587287556	Dazap2/Actg1/Ddx3x/Zfp207/Tubb5/Kat2b	6	6	51	352	14298	4.778743315508022	BP
cLEC	Ag-high	GO:0034976	response to endoplasmic reticulum stress	5/51	238/14298	0.001542657718859306	0.024773268073446503	0.018029513587287556	Ddx3x/Stt3b/App/Clu/Canx	5	5	51	238	14298	5.889767671774592	BP
cLEC	Ag-high	GO:0055070	copper ion homeostasis	2/51	17/14298	0.0016393843218411462	0.02503786964266478	0.01822208557953722	Aplp2/App	2	2	51	17	14298	32.982698961937714	BP
cLEC	Ag-high	GO:1905146	lysosomal protein catabolic process	2/51	17/14298	0.0016393843218411462	0.02503786964266478	0.01822208557953722	Psap/Grn	2	2	51	17	14298	32.982698961937714	BP
cLEC	Ag-high	GO:0010975	regulation of neuron projection development	7/51	492/14298	0.001707072960589721	0.025712050661572075	0.018712741709549757	Neo1/Grn/Dab2/H2-K1/Kat2b/Sgk1/Cd24a	7	7	51	492	14298	3.9887613582018178	BP
cLEC	Ag-high	GO:0051098	regulation of binding	6/51	366/14298	0.0018399272148687477	0.026791971774857745	0.019498687767512627	Dazap2/Psen2/Dab2/Aplp2/App/Kat2b	6	6	51	366	14298	4.595949855351977	BP
cLEC	Ag-high	GO:1902932	positive regulation of alcohol biosynthetic process	2/51	18/14298	0.0018401079515699	0.026791971774857745	0.019498687767512627	Dab2/Plcd1	2	2	51	18	14298	31.150326797385624	BP
cLEC	Ag-high	GO:0000303	response to superoxide	2/51	19/14298	0.002051909580932473	0.02872673413305462	0.020906771033792404	Fbln5/Cd36	2	2	51	19	14298	29.510835913312693	BP
cLEC	Ag-high	GO:0043129	surfactant homeostasis	2/51	19/14298	0.002051909580932473	0.02872673413305462	0.020906771033792404	Adgrf5/Kdr	2	2	51	19	14298	29.510835913312693	BP
cLEC	Ag-high	GO:0048143	astrocyte activation	2/51	19/14298	0.002051909580932473	0.02872673413305462	0.020906771033792404	Grn/App	2	2	51	19	14298	29.510835913312693	BP
cLEC	Ag-high	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	2/51	19/14298	0.002051909580932473	0.02872673413305462	0.020906771033792404	Ddx3x/Cd36	2	2	51	19	14298	29.510835913312693	BP
cLEC	Ag-high	GO:0006066	alcohol metabolic process	5/51	256/14298	0.002123309309513067	0.02908717654364236	0.02116909416854635	Nudt4/Dab2/Aplp2/Plcd1/App	5	5	51	256	14298	5.475643382352941	BP
cLEC	Ag-high	GO:0003073	regulation of systemic arterial blood pressure	3/51	72/14298	0.0021442469887941484	0.02908717654364236	0.02116909416854635	Gas6/Prcp/Kdr	3	3	51	72	14298	11.681372549019608	BP
cLEC	Ag-high	GO:0045913	positive regulation of carbohydrate metabolic process	3/51	72/14298	0.0021442469887941484	0.02908717654364236	0.02116909416854635	Plcd1/App/Kat2b	3	3	51	72	14298	11.681372549019608	BP
cLEC	Ag-high	GO:1902074	response to salt	5/51	257/14298	0.00215966679812345	0.029115507945071693	0.02118971322395328	Junb/Plcd1/App/Cd36/Lgmn	5	5	51	257	14298	5.454337376974136	BP
cLEC	Ag-high	GO:0006809	nitric oxide biosynthetic process	3/51	74/14298	0.0023189995247515217	0.029792323306219552	0.021682286578172127	App/Clu/Cd36	3	3	51	74	14298	11.365659777424483	BP
cLEC	Ag-high	GO:0040014	regulation of multicellular organism growth	3/51	75/14298	0.002409591691089509	0.03041935406554617	0.022138627645544015	App/Lgmn/Csf1	3	3	51	75	14298	11.214117647058824	BP
cLEC	Ag-high	GO:0002833	positive regulation of response to biotic stimulus	5/51	270/14298	0.0026748429659965703	0.033004842021110224	0.024020296631904973	Ddx3x/Grn/App/Cd36/Cd24a	5	5	51	270	14298	5.191721132897603	BP
cLEC	Ag-high	GO:0070371	ERK1 and ERK2 cascade	5/51	275/14298	0.002894984991307658	0.03513108694318792	0.02556773726827346	Gas6/Dab2/App/Cd36/Kdr	5	5	51	275	14298	5.0973262032085564	BP
cLEC	Ag-high	GO:2001057	reactive nitrogen species metabolic process	3/51	80/14298	0.0028954192535594445	0.03513108694318792	0.02556773726827346	App/Clu/Cd36	3	3	51	80	14298	10.513235294117647	BP
cLEC	Ag-high	GO:0045730	respiratory burst	2/51	23/14298	0.0030083332264856516	0.03532365465937991	0.025707884391586496	Grn/Cd24a	2	2	51	23	14298	24.37851662404092	BP
cLEC	Ag-high	GO:0060716	labyrinthine layer blood vessel development	2/51	23/14298	0.0030083332264856516	0.03532365465937991	0.025707884391586496	Junb/Plcd1	2	2	51	23	14298	24.37851662404092	BP
cLEC	Ag-high	GO:1900273	positive regulation of long-term synaptic potentiation	2/51	23/14298	0.0030083332264856516	0.03532365465937991	0.025707884391586496	App/Lgmn	2	2	51	23	14298	24.37851662404092	BP
cLEC	Ag-high	GO:1902993	positive regulation of amyloid precursor protein catabolic process	2/51	23/14298	0.0030083332264856516	0.03532365465937991	0.025707884391586496	App/Clu	2	2	51	23	14298	24.37851662404092	BP
cLEC	Ag-high	GO:0001667	ameboidal-type cell migration	6/51	408/14298	0.0031658951144391883	0.03697494614938603	0.026909662948512103	Grn/Prcp/Cd63/Lgmn/Tbx1/Kdr	6	6	51	408	14298	4.122837370242214	BP
cLEC	Ag-high	GO:0010742	macrophage derived foam cell differentiation	2/51	24/14298	0.0032743561810270987	0.03724580155918325	0.027106786367055474	Cd36/Csf1	2	2	51	24	14298	23.362745098039216	BP
cLEC	Ag-high	GO:0050820	positive regulation of coagulation	2/51	24/14298	0.0032743561810270987	0.03724580155918325	0.027106786367055474	Psen2/Cd36	2	2	51	24	14298	23.362745098039216	BP
cLEC	Ag-high	GO:0060037	pharyngeal system development	2/51	24/14298	0.0032743561810270987	0.03724580155918325	0.027106786367055474	Tbx1/Adgrf5	2	2	51	24	14298	23.362745098039216	BP
cLEC	Ag-high	GO:2000269	regulation of fibroblast apoptotic process	2/51	24/14298	0.0032743561810270987	0.03724580155918325	0.027106786367055474	Btg1/Gas6	2	2	51	24	14298	23.362745098039216	BP
cLEC	Ag-high	GO:0021700	developmental maturation	5/51	285/14298	0.0033743150235693185	0.037987134079770064	0.02764631408350337	Atp6v1a/Psen2/Cd63/App/Kdr	5	5	51	285	14298	4.9184726522187825	BP
cLEC	Ag-high	GO:0070841	inclusion body assembly	2/51	25/14298	0.003550992438742402	0.038605044548609094	0.028096017576826553	Psap/Clu	2	2	51	25	14298	22.428235294117645	BP
cLEC	Ag-high	GO:0098869	cellular oxidant detoxification	2/51	25/14298	0.003550992438742402	0.038605044548609094	0.028096017576826553	Fbln5/Cd36	2	2	51	25	14298	22.428235294117645	BP
cLEC	Ag-high	GO:0062197	cellular response to chemical stress	5/51	296/14298	0.003965126063124711	0.04161420350771491	0.03028602626597721	Ddx3x/Fbln5/Psap/App/Cd36	5	5	51	296	14298	4.735691573926868	BP
cLEC	Ag-high	GO:0090132	epithelium migration	5/51	296/14298	0.003965126063124711	0.04161420350771491	0.03028602626597721	Grn/Prcp/Cd63/Lgmn/Kdr	5	5	51	296	14298	4.735691573926868	BP
