cell_type	gene	p_value	Ag_class
Collecting	Ptpre	0.007211538461538436	Ag-high
Collecting	Reln	0.007211538461538436	Ag-low
Collecting	Fnip1	0.007211538461538436	Ag-high
Collecting	Pdcd6ip	0.007211538461538436	Ag-high
Collecting	Eif4g2	0.009615384615384581	Ag-high
Collecting	Nid2	0.009615384615384581	Ag-low
Collecting	Sgk1	0.012019230769230727	Ag-high
Collecting	Cd24a	0.012019230769230727	Ag-high
Collecting	Capza2	0.014423076923076872	Ag-high
Collecting	Ccl21a	0.019230769230769273	Ag-low
Collecting	Adamts1	0.019230769230769273	Ag-high
Collecting	Klf2	0.019230769230769273	Ag-high
Collecting	Ptprb	0.02163461538461542	Ag-high
Collecting	Foxp2	0.024038461538461564	Ag-high
Collecting	F11r	0.024038461538461564	Ag-high
Collecting	Zfp655	0.024038461538461564	Ag-high
Collecting	Nfat5	0.02644230769230771	Ag-high
Collecting	Mat2a	0.02644230769230771	Ag-high
Collecting	Etnk1	0.02644230769230771	Ag-high
Collecting	Tmem132a	0.02644230769230771	Ag-high
Collecting	Ctla2a	0.02644230769230771	Ag-low
Collecting	Fkbp1a	0.02644230769230771	Ag-high
Collecting	Ephb4	0.02644230769230771	Ag-high
Collecting	Itm2a	0.02644230769230771	Ag-low
Collecting	Adss	0.03125	Ag-high
Collecting	Tspan14	0.03125	Ag-high
Collecting	Dusp2	0.033653846153846145	Ag-high
Collecting	Tgfa	0.03605769230769229	Ag-high
Collecting	Psap	0.03605769230769229	Ag-high
Collecting	Afap1	0.03605769230769229	Ag-high
Collecting	Nsd1	0.03605769230769229	Ag-high
Collecting	Adamts7	0.03605769230769229	Ag-low
Collecting	Ddx3x	0.038461538461538436	Ag-high
Collecting	Mrps7	0.038461538461538436	Ag-low
Collecting	Abi3bp	0.04086538461538458	Ag-low
Collecting	Pcdh7	0.04086538461538458	Ag-high
Collecting	Mest	0.04086538461538458	Ag-low
Collecting	Ythdf3	0.04086538461538458	Ag-high
Collecting	Map3k1	0.04086538461538458	Ag-high
Collecting	Pdlim7	0.04086538461538458	Ag-high
Collecting	Wipi2	0.04086538461538458	Ag-high
Collecting	Atxn2l	0.04086538461538458	Ag-high
Collecting	Parm1	0.043269230769230727	Ag-high
Collecting	Hprt	0.043269230769230727	Ag-high
Collecting	Lama4	0.043269230769230727	Ag-low
Collecting	Maff	0.04567307692307687	Ag-high
Collecting	Ccdc141	0.04567307692307687	Ag-high
Collecting	S100a10	0.04567307692307687	Ag-low
Collecting	Gm21541	0.04567307692307687	Ag-low
Collecting	Nts	0.04807692307692313	Ag-high
